adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
34,29,28,28,29,321768507
34,29,28,28,29,321768525
34,29,28,28,28,321768543
33,29,28,28,29,321768561
34,29,28,28,28,321768579
33,29,28,28,29,321768596
34,29,28,28,29,321768614
34,29,28,28,29,321768632
34,29,28,28,28,321768650
34,29,28,28,29,321768668
34,29,29,28,29,321768685
34,29,28,28,29,321768703
33,29,28,28,29,321768721
33,29,28,28,29,321768739
33,29,28,28,29,321768757
34,29,28,28,28,321768775
34,29,28,28,28,321768792
34,29,28,28,29,321768810
34,29,28,28,29,321768828
34,29,28,28,29,321768846
34,29,28,28,29,321768864
33,29,28,28,28,321768881
33,29,28,28,29,321768899
34,29,28,28,28,321768917
34,29,28,28,28,321768935
34,29,28,28,29,321768953
34,29,28,28,29,321768970
34,30,28,28,29,321768988
34,29,28,28,29,321769006
34,29,28,28,29,321769024
34,28,28,28,28,321769042
34,29,28,28,28,321769060
34,29,28,28,29,321769077
34,29,29,28,28,321769095
34,29,28,28,28,321769113
34,29,28,28,29,321769131
34,29,29,29,29,321769149
34,29,28,28,29,321769166
34,29,28,28,28,321769184
34,29,28,28,29,321769202
34,29,28,27,29,321769220
33,29,28,28,28,321769238
34,29,28,28,29,321769255
34,29,28,29,29,321769273
34,29,28,28,29,321769291
34,29,28,28,29,321769309
34,29,28,28,29,321769327
34,29,28,28,28,321769345
33,30,28,28,29,321769362
34,29,28,28,28,321769380
34,29,28,29,29,321769398
34,29,28,28,29,321769416
34,29,28,28,28,321769434
34,29,28,28,29,321769451
34,29,28,28,29,321769469
34,28,28,28,28,321769487
34,29,28,28,28,321769505
34,29,28,28,29,321769523
34,29,28,28,28,321769540
34,29,28,28,28,321769558
33,29,28,28,28,321769576
34,29,28,28,28,321769594
34,29,28,28,28,321769612
34,29,28,28,29,321769630
34,29,28,28,28,321769647
34,29,29,29,29,321769665
34,29,28,28,29,321769683
34,29,28,28,29,321769701
34,29,28,28,29,321769719
34,29,28,28,29,321769736
34,29,28,28,28,321769754
34,29,28,28,29,321769772
34,29,28,28,28,321769790
34,29,28,28,29,321769808
34,29,28,28,29,321769825
34,29,28,28,29,321769843
34,29,28,28,28,321769861
34,29,28,28,28,321769879
34,29,28,28,29,321769897
34,29,28,28,28,321769915
34,29,28,28,29,321769932
34,29,28,28,28,321769950
34,29,28,29,29,321769968
34,29,28,28,29,321769986
34,29,28,28,29,321770004
33,29,28,28,28,321770021
32,29,28,28,29,321770039
33,29,28,28,29,321770057
33,28,28,28,29,321770075
33,29,28,28,29,321770093
34,29,28,28,29,321770111
33,29,28,29,29,321770128
33,29,28,28,29,321770146
33,29,28,28,29,321770164
33,29,28,28,29,321770182
33,29,28,28,29,321770200
33,29,28,28,29,321770217
33,29,28,28,29,321770235
34,29,28,28,28,321770253
33,29,28,28,28,321770271
33,29,28,28,29,321770289
33,29,28,28,28,321770306
34,29,28,28,28,321770324
33,29,28,28,28,321770342
33,29,28,28,29,321770360
33,29,28,28,29,321770378
33,29,28,28,28,321770396
33,29,28,28,28,321770413
33,29,28,28,29,321770431
33,29,28,28,29,321770449
33,29,29,28,29,321770467
33,29,27,28,29,321770485
33,29,28,28,29,321770502
33,29,28,28,29,321770520
34,29,28,28,29,321770538
33,29,28,28,28,321770556
33,29,28,28,28,321770574
33,29,28,28,29,321770591
33,29,28,29,29,321770609
33,29,29,28,29,321770627
33,29,28,28,29,321770645
34,29,28,28,29,321770663
33,29,28,28,28,321770681
33,29,28,28,29,321770698
34,29,28,28,29,321770716
33,29,28,28,29,321770734
33,29,28,28,29,321770752
33,29,28,28,29,321770770
33,29,28,28,29,321770787
34,28,28,28,29,321770805
32,29,28,28,29,321770823
33,29,28,28,29,321770841
33,28,28,28,29,321770859
33,29,28,28,28,321770876
33,29,28,28,29,321770894
33,29,28,28,29,321770912
33,29,28,28,29,321770930
33,29,28,28,28,321770948
33,29,28,28,29,321770966
33,29,27,27,28,321770983
33,29,28,28,29,321771001
34,29,28,28,28,321771019
34,29,28,28,29,321771037
33,29,28,28,29,321771055
33,29,28,28,29,321771072
33,29,28,27,28,321771090
34,29,28,28,28,321771108
33,29,28,28,29,321771126
33,29,28,28,28,321771144
