adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
33,29,28,28,28,820588881
33,29,28,28,28,820588899
33,28,28,27,29,820588917
33,28,28,28,29,820588935
33,28,28,28,28,820588953
33,28,28,28,28,820588971
33,28,28,28,29,820588988
33,28,29,28,28,820589006
33,29,28,28,29,820589024
33,28,28,28,29,820589042
33,28,28,29,29,820589060
33,28,28,28,29,820589077
33,29,28,28,29,820589095
33,28,28,28,28,820589113
33,28,28,28,29,820589131
33,28,28,28,28,820589149
33,28,28,28,28,820589166
33,28,28,27,29,820589184
33,28,28,28,29,820589202
33,29,28,28,29,820589220
33,28,28,28,29,820589238
33,28,28,28,28,820589256
33,29,28,28,29,820589273
33,29,28,28,29,820589291
33,28,28,28,29,820589309
33,28,28,28,29,820589327
34,28,28,28,28,820589345
33,28,28,28,29,820589362
33,28,28,28,29,820589380
33,28,28,28,29,820589398
33,28,28,28,28,820589416
33,28,28,28,29,820589434
33,28,28,28,28,820589451
33,29,28,28,29,820589469
33,29,28,28,29,820589487
33,28,28,28,29,820589505
33,28,28,28,28,820589523
33,29,28,28,29,820589541
33,28,28,28,29,820589558
33,28,28,28,28,820589576
33,29,28,28,29,820589594
33,28,28,28,28,820589612
32,29,28,27,28,820589630
33,29,28,28,29,820589647
33,28,28,28,29,820589665
33,29,28,28,29,820589683
33,28,28,28,28,820589701
33,28,28,28,29,820589719
33,28,28,28,28,820589736
33,28,27,28,28,820589754
33,28,28,27,29,820589772
33,28,28,29,29,820589790
33,28,28,28,29,820589808
32,28,28,27,29,820589826
33,28,28,28,29,820589843
33,28,28,28,29,820589861
33,29,28,28,29,820589879
33,28,28,28,28,820589897
33,28,28,28,29,820589915
33,28,28,28,29,820589932
33,29,28,28,29,820589950
33,28,28,28,29,820589968
33,28,28,28,29,820589986
33,28,28,28,28,820590004
32,29,29,28,29,820590021
33,28,29,28,29,820590039
33,29,28,28,29,820590057
33,29,28,28,28,820590075
33,28,28,28,28,820590093
33,29,28,28,29,820590111
33,28,27,28,29,820590128
33,28,28,28,29,820590146
33,28,28,28,29,820590164
32,29,28,28,29,820590182
33,29,28,28,29,820590200
33,28,28,28,29,820590217
33,28,28,29,29,820590235
33,29,28,28,29,820590253
33,29,28,28,29,820590271
33,29,28,28,29,820590289
33,28,28,28,29,820590307
32,28,28,28,28,820590324
32,29,28,28,28,820590342
33,29,28,28,29,820590360
33,28,28,28,29,820590378
33,29,28,28,28,820590396
33,29,28,28,29,820590413
33,28,28,28,29,820590431
32,29,28,27,28,820590449
32,29,28,27,29,820590467
32,29,28,27,28,820590485
32,29,28,28,29,820590502
33,29,27,28,29,820590520
33,29,28,28,29,820590538
33,29,28,28,29,820590556
33,28,28,28,29,820590574
33,28,28,28,29,820590592
33,28,28,28,29,820590609
33,29,28,28,29,820590627
32,29,28,28,28,820590645
33,29,28,28,28,820590663
33,29,28,28,29,820590681
33,29,28,28,29,820590698
33,29,28,28,28,820590716
33,29,28,28,28,820590734
33,29,28,28,28,820590752
33,28,28,28,28,820590770
33,28,28,28,29,820590787
33,29,28,28,29,820590805
33,28,27,28,28,820590823
33,28,28,28,29,820590841
33,29,27,28,29,820590859
33,28,28,28,29,820590877
33,28,28,28,29,820590894
33,29,29,28,29,820590912
33,29,28,28,28,820590930
33,28,28,28,29,820590948
33,28,28,28,28,820590966
33,29,28,28,29,820590983
33,29,28,28,29,820591001
32,29,27,27,29,820591019
33,29,28,28,29,820591037
33,29,28,28,28,820591055
33,29,28,28,28,820591072
32,29,28,28,28,820591090
33,29,28,28,29,820591108
32,29,28,28,29,820591126
33,29,28,28,29,820591144
34,29,28,27,28,820591162
33,29,28,28,28,820591179
33,29,28,28,28,820591197
33,28,28,29,29,820591215
33,29,28,28,29,820591233
33,29,28,28,29,820591251
33,29,28,29,28,820591268
33,29,28,28,29,820591286
33,28,28,28,29,820591304
33,29,28,28,28,820591322
33,29,28,28,29,820591340
33,29,28,28,28,820591357
33,29,28,28,29,820591375
33,29,28,28,29,820591393
33,28,28,28,29,820591411
33,29,28,28,29,820591429
33,29,28,28,28,820591447
33,29,28,29,29,820591464
33,29,28,28,29,820591482
33,29,28,28,29,820591500
32,29,28,28,29,820591518
33,29,28,28,29,820591536
33,29,28,28,29,820591553
33,29,27,28,29,820591571
33,29,28,28,29,820591589
33,29,28,28,29,820591607
33,29,28,28,29,820591625
33,29,28,28,29,820591643
33,29,28,28,29,820591660
33,29,28,27,29,820591678
33,29,28,28,28,820591696
33,29,28,28,29,820591714
33,29,28,28,29,820591732
33,29,28,28,29,820591749
33,29,28,28,29,820591767
33,29,28,28,29,820591785
33,29,28,28,29,820591803
33,29,28,28,29,820591821
33,29,28,28,29,820591838
33,28,28,28,29,820591856
33,29,28,28,29,820591874
33,29,28,28,29,820591892
33,29,28,28,29,820591910
33,29,28,28,29,820591928
33,29,28,28,28,820591945
33,29,28,28,29,820591963
33,29,28,28,28,820591981
33,29,28,28,29,820591999
33,28,28,28,29,820592017
33,29,28,28,29,820592034
33,29,28,28,28,820592052
33,29,28,28,29,820592070
33,28,28,28,29,820592088
33,29,28,28,29,820592106
33,29,28,28,29,820592123
33,29,28,28,29,820592141
32,28,28,28,29,820592159
33,28,28,28,29,820592177
33,28,28,28,29,820592195
33,28,28,28,29,820592213
33,28,28,28,29,820592230
33,29,28,28,29,820592248
33,28,28,28,29,820592266
33,29,28,28,29,820592284
33,28,28,28,29,820592302
33,28,28,28,29,820592319
33,28,28,28,29,820592337
33,28,28,28,28,820592355
33,28,28,28,29,820592373
33,28,28,28,29,820592391
33,29,28,28,29,820592408
33,28,28,28,29,820592426
33,28,28,28,29,820592444
33,29,28,28,28,820592462
33,28,28,28,29,820592480
33,28,28,28,29,820592498
33,29,28,28,29,820592515
33,29,28,28,28,820592533
33,29,28,28,29,820592551
33,28,28,28,29,820592569
32,29,28,28,29,820592587
33,28,28,28,29,820592604
33,28,28,28,29,820592622
33,28,28,28,29,820592640
33,28,28,28,29,820592658
33,28,28,27,29,820592676
33,29,28,28,28,820592693
33,29,28,28,29,820592711
