adc_15,adc_17,adc_19,adc_21,adc_23,timestamp_us
33,29,28,28,29,73455234
33,29,28,28,29,73455252
33,29,28,28,29,73455269
33,29,28,28,29,73455287
34,29,28,28,29,73455305
33,29,28,28,29,73455323
34,29,28,28,29,73455341
33,29,28,28,30,73455359
32,29,28,28,29,73455376
33,29,28,28,29,73455394
33,30,28,28,29,73455412
33,29,28,27,29,73455430
33,29,27,28,29,73455448
34,29,28,28,29,73455465
34,29,28,28,29,73455483
33,29,28,28,29,73455501
33,30,28,28,29,73455519
34,29,28,28,29,73455537
34,29,28,28,29,73455555
33,29,28,28,29,73455572
34,29,27,28,29,73455590
33,29,28,28,29,73455608
33,29,28,28,29,73455626
33,29,28,28,29,73455644
33,30,28,28,29,73455661
33,29,28,28,29,73455679
34,29,28,28,29,73455697
33,29,28,28,29,73455715
33,29,28,28,30,73455733
34,29,28,28,29,73455750
33,29,28,28,29,73455768
33,29,28,28,29,73455786
33,29,28,28,29,73455804
34,29,28,28,29,73455822
33,29,28,28,29,73455840
34,29,28,28,29,73455857
33,29,28,28,30,73455875
33,29,28,28,29,73455893
34,29,28,28,29,73455911
33,29,28,28,29,73455929
33,29,28,28,29,73455946
33,29,29,28,29,73455964
34,29,28,28,30,73455982
33,29,28,28,29,73456000
34,29,28,28,29,73456018
34,29,28,28,29,73456035
34,29,28,28,29,73456053
34,29,29,28,29,73456071
34,30,28,28,29,73456089
34,29,28,28,29,73456107
34,29,28,28,29,73456125
34,29,28,28,30,73456142
34,29,28,28,29,73456160
33,29,28,28,29,73456178
34,29,28,28,29,73456196
34,29,28,28,29,73456214
34,29,28,28,29,73456231
34,29,28,28,30,73456249
33,29,28,28,29,73456267
34,29,28,28,29,73456285
34,29,28,28,29,73456303
34,29,28,28,29,73456320
33,29,28,28,29,73456338
34,29,28,28,29,73456356
34,29,28,28,29,73456374
33,29,28,28,29,73456392
33,29,28,28,29,73456410
33,29,28,28,29,73456427
34,29,28,28,30,73456445
34,29,28,28,29,73456463
34,29,28,27,29,73456481
33,29,28,28,29,73456499
34,29,28,28,29,73456516
33,29,28,28,29,73456534
33,29,28,28,29,73456552
34,29,28,28,29,73456570
34,29,28,28,30,73456588
34,29,28,28,30,73456605
33,29,28,28,29,73456623
34,29,28,28,29,73456641
33,29,28,28,29,73456659
34,29,28,28,29,73456677
34,29,28,28,29,73456695
34,29,28,28,29,73456712
34,29,28,28,29,73456730
34,29,28,28,29,73456748
34,29,28,28,30,73456766
33,29,28,28,29,73456784
34,29,30,34,30,73456801
34,29,28,28,29,73456819
34,33,32,30,26,73456837
33,29,28,28,29,73456855
33,30,28,28,29,73456873
34,29,28,28,29,73456890
34,29,28,28,29,73456908
34,30,28,28,30,73456926
34,30,28,28,29,73456944
34,29,28,28,29,73456962
34,29,28,28,29,73456980
34,29,28,28,29,73456997
33,29,28,28,29,73457015
34,29,28,28,29,73457033
34,29,28,28,29,73457051
33,29,29,28,30,73457069
33,29,28,28,29,73457086
33,29,28,28,29,73457104
33,29,28,28,29,73457122
33,28,29,28,29,73457140
33,29,28,28,29,73457158
33,29,28,28,29,73457175
34,29,28,28,29,73457193
33,29,28,28,30,73457211
34,29,28,28,29,73457229
33,29,28,28,29,73457247
34,29,28,28,29,73457265
34,29,28,28,29,73457282
34,29,28,28,29,73457300
34,29,28,28,29,73457318
33,29,28,28,29,73457336
34,29,28,28,29,73457354
34,29,29,28,29,73457371
33,29,28,28,28,73457389
34,29,28,27,29,73457407
33,29,28,28,29,73457425
33,29,28,28,30,73457443
33,29,28,28,29,73457461
33,29,28,28,29,73457478
34,29,28,28,29,73457496
34,29,28,28,30,73457514
33,29,28,28,29,73457532
34,29,28,28,29,73457550
33,30,28,28,29,73457567
34,29,28,28,29,73457585
34,29,28,28,29,73457603
33,30,28,28,29,73457621
34,29,28,28,29,73457639
33,29,28,28,29,73457656
34,29,28,28,30,73457674
34,29,28,28,29,73457692
34,29,28,27,29,73457710
34,29,28,28,29,73457728
34,29,28,28,29,73457746
33,29,28,28,29,73457763
34,29,28,28,29,73457781
33,29,28,28,29,73457799
34,29,28,28,29,73457817
34,29,28,27,29,73457835
33,29,29,28,29,73457852
34,29,28,28,29,73457870
33,29,28,28,29,73457888
34,29,28,28,29,73457906
34,29,28,28,29,73457924
34,30,28,28,28,73457941
34,29,28,27,29,73457959
34,29,28,28,29,73457977
34,29,28,28,29,73457995
34,29,28,28,29,73458013
33,29,28,28,29,73458031
33,29,28,28,29,73458048
33,29,28,28,29,73458066
33,29,28,28,29,73458084
33,29,28,28,29,73458102
33,29,28,28,29,73458120
33,29,28,28,29,73458137
33,29,28,28,29,73458155
33,29,28,28,29,73458173
33,29,28,28,30,73458191
33,29,28,28,29,73458209
33,29,28,28,29,73458226
33,29,28,28,29,73458244
33,30,28,28,29,73458262
33,29,28,27,29,73458280
34,29,28,28,29,73458298
34,29,28,28,30,73458316
33,29,28,28,29,73458333
34,29,28,29,29,73458351
33,29,27,28,29,73458369
33,29,28,28,29,73458387
33,29,28,28,29,73458405
33,29,28,28,29,73458422
33,29,28,28,29,73458440
33,30,28,28,29,73458458
33,29,28,28,29,73458476
33,29,29,28,29,73458494
33,29,28,28,29,73458511
33,29,28,28,29,73458529
34,29,28,28,29,73458547
33,29,28,28,29,73458565
33,29,28,28,29,73458583
33,29,28,28,29,73458601
33,29,28,27,29,73458618
34,29,28,28,29,73458636
33,29,28,28,29,73458654
33,29,28,28,29,73458672
33,29,28,28,29,73458690
34,29,28,28,29,73458707
33,29,28,28,29,73458725
33,29,28,28,29,73458743
34,29,28,28,29,73458761
34,29,28,28,29,73458779
33,29,28,28,29,73458797
33,29,28,28,29,73458814
33,29,28,28,29,73458832
33,29,28,28,29,73458850
33,30,28,28,29,73458868
33,29,28,28,29,73458886
33,29,28,28,29,73458903
33,29,28,28,30,73458921
33,29,28,28,29,73458939
33,29,28,28,29,73458957
33,29,28,28,29,73458975
33,29,28,28,29,73458992
33,29,29,28,30,73459010
34,29,28,28,29,73459028
33,29,28,27,29,73459046
33,29,28,28,29,73459064
33,29,28,28,29,73459082
34,29,28,28,29,73459099
34,29,28,28,28,73459117
34,29,28,29,29,73459135
34,29,28,28,29,73459153
34,29,28,28,29,73459171
